D_physical,cell_peclet,fitted_D_num,h,n,predicted_D_num,ratio_to_prediction,relative_added_diffusion
0.5,1.0,0.24680370769166543,0.0625,17,0.25,0.9872148307666617,0.49360741538333086
0.5,0.5,0.1245989205056182,0.03125,33,0.125,0.9967913640449456,0.2491978410112364
0.5,0.25,0.06244981672121864,0.015625,65,0.0625,0.9991970675394982,0.12489963344243728
0.5,0.125,0.031243725578487487,0.0078125,129,0.03125,0.9997992185115996,0.062487451156974974
