cell_peclet,central_l2,central_max,central_order,h,n,upwind_l2,upwind_max,upwind_order
1.0,0.9221217348908101,1.857019827227461,,0.0625,17,10.189343289610555,28.48713744205139,
0.5,0.21986786396806135,0.4856559901112689,2.068320467818969,0.03125,33,5.21798633239155,14.489333434049847,0.9654960013991384
0.25,0.053535668631808045,0.12157426681808658,2.038064428522174,0.015625,65,2.6195100500339064,7.3434283258488975,0.9941961681980493
0.125,0.013215046660023051,0.030419482997686487,2.018318901815602,0.0078125,129,1.309889148762857,3.6867777610621104,0.9998522702699957
